,Alvin and the Chipmunks,Stand Up Animation,Bridget Jones,My Big Fat Greek Wedding,Pauly Shore,Cheech and Chong,The Purge,The Hunger Games,Rambo,Bourne,Teen Shakespeare,High School Musical,Dirty Harry,Bruce Lee,Chucky,Halloween,Toxic Avenger,Universal Soldier,Airport,Barbershop,John Grisham,Body Snatchers,Cube,Jumanji,Lethal Weapon,Neeson/Collet-Serra,Oh God!,Godzilla,Major League,Magic Mike,Draculas,Blair Witch
punchsoberlove,0,2,0,1,0,1,3,0,0,2,1,0,0,1,0,5,0,3,0,1,1,0,2,0,0,1,0,4,0,2,1,0
CodyFSchmidt,1,0,0,3,1,0,0,2,2,0,1,0,0,1,5,0,2,0,0,1,1,0,4,0,1,0,0,3,0,1,0,2
TheSmark88,4,0,0,1,0,1,0,2,0,1,2,0,0,1,3,0,2,0,0,1,5,0,0,1,1,0,0,3,0,2,1,0
lena (lyric),0,2,0,1,1,0,0,4,0,1,2,0,0,1,3,0,5,0,0,1,1,0,0,2,1,0,0,3,0,2,0,1
Cucky,3,0,1,0,1,0,0,2,1,0,2,0,1,0,5,0,3,0,0,1,2,0,1,0,1,0,0,4,0,1,2,0
bharg,0,2,1,0,0,1,0,4,0,1,2,0,0,1,3,0,3,0,1,0,1,0,0,2,0,1,0,5,1,0,2,0
Masong253,5,0,1,0,1,0,2,0,2,0,1,0,1,0,0,3,4,0,0,1,2,0,0,1,0,1,0,3,1,0,2,0
Frickward Testicles,0,2,1,0,0,1,0,3,1,0,0,4,0,1,2,0,2,0,0,1,3,0,0,1,1,0,0,5,0,2,1,0
specificandrew,0,5,0,1,2,0,0,1,0,1,3,0,1,0,2,0,1,0,0,2,4,0,0,1,0,1,0,2,0,1,3,0
valyriawrex,0,1,3,0,0,1,2,0,0,1,5,0,0,2,0,1,1,0,2,0,4,0,1,0,1,0,0,3,0,1,0,2
jdiez,1,0,2,0,0,1,0,5,0,1,0,2,0,1,0,3,3,0,0,1,0,2,1,0,1,0,0,2,0,1,4,0
SuperTim,0,3,0,1,1,0,0,2,0,1,5,0,2,0,0,1,0,1,2,0,1,0,0,3,4,0,0,1,2,0,1,0
cash,0,2,0,1,0,1,0,4,0,1,3,0,0,1,0,2,3,0,1,0,2,0,0,1,1,0,0,5,1,0,2,0
Beechmast,0,2,1,0,1,0,0,4,1,0,3,0,0,2,1,0,1,0,0,2,5,0,0,1,0,2,0,1,0,1,3,0
riffraffralph,0,1,2,0,3,0,1,0,1,0,4,0,0,2,0,1,3,0,1,0,2,0,0,1,2,0,0,1,5,0,0,1
Icenine,2,0,0,1,1,0,3,0,5,0,1,0,1,0,2,0,2,0,0,1,4,0,1,0,3,0,0,1,1,0,2,0
mxpibb,4,0,1,0,2,0,0,1,0,1,2,0,0,3,1,0,3,0,0,1,2,0,0,1,1,0,0,2,0,5,1,0
tedulous,2,0,0,1,1,0,0,4,1,0,2,0,0,1,3,0,3,0,0,1,1,0,0,2,0,1,0,5,2,0,1,0
EOM,0,2,0,1,0,1,0,4,0,1,3,0,1,0,0,2,0,1,2,0,3,0,0,1,0,1,0,5,0,2,1,0
Sqeegee,2,0,1,0,0,1,0,3,0,1,0,5,0,2,0,1,1,0,2,0,3,0,1,0,1,0,0,2,0,4,0,1
Podocast,0,3,1,0,2,0,0,1,2,0,1,0,1,0,0,5,3,0,1,0,2,0,0,1,2,0,0,1,0,1,4,0
edgeofjonathan,0,3,0,1,0,2,0,1,0,1,0,5,0,1,2,0,1,0,0,2,3,0,0,1,0,1,0,4,0,1,2,0
greght,3,0,1,0,1,0,2,0,2,0,1,0,0,1,4,0,2,0,0,1,5,0,1,0,3,0,0,1,2,0,1,0
Dreyesbo,2,0,1,0,0,1,3,0,0,5,1,0,1,0,2,0,0,1,4,0,1,0,0,2,0,1,0,3,1,0,2,0
otooler,2,0,0,1,4,0,1,0,1,0,0,2,3,0,0,1,1,0,5,0,2,0,0,1,0,1,2,0,3,0,1,0
Kelsig,5,0,1,0,0,2,1,0,1,0,2,0,0,3,0,1,0,3,0,1,0,2,1,0,1,0,0,4,0,2,1,0
Sam,0,1,2,0,0,1,3,0,1,0,2,0,1,0,5,0,4,0,1,0,2,0,1,0,3,0,0,1,1,0,2,0
Cubesilla,0,2,1,0,1,0,0,4,1,0,2,0,0,3,0,1,3,0,1,0,0,2,0,1,1,0,0,5,1,0,2,0
motoroboto does this one too,1,0,2,0,0,1,3,0,2,0,1,0,1,0,0,4,0,2,0,1,1,0,3,0,0,1,0,5,0,1,0,2
deebee8,0,1,0,2,0,1,3,0,0,1,4,0,0,1,2,0,1,0,0,2,5,0,1,0,0,3,0,1,1,0,2,0
RealDanStan,1,0,0,3,1,0,2,0,0,1,4,0,0,2,1,0,5,0,0,1,1,0,2,0,1,0,0,2,3,0,1,0
Black Check Book Club,0,1,2,0,1,0,4,0,2,0,1,0,1,0,3,0,0,2,0,1,5,0,0,1,3,0,1,0,1,0,2,0
Hoff's Picks,1,0,0,2,0,1,0,4,0,1,0,3,0,1,0,2,2,0,0,1,0,3,1,0,0,2,0,1,0,5,1,0
Kennypickett,0,2,1,0,1,0,0,5,0,1,0,3,0,2,1,0,2,0,0,1,1,0,0,4,0,1,0,3,2,0,1,0
